exit_time,col2,net_pts,col4,col5
2023-01-05 11:34:38.099,0.633,-4.0,0.0,107
2023-01-05 11:38:47.010,0.607,1.0,-0.75,38
2023-01-05 11:43:56.127,0.444,1.0,-2.25,111
2023-01-05 11:52:27.894,0.677,-2.0,0.0,540
2023-01-05 12:02:23.516,0.411,1.0,-0.25,52
2023-01-05 12:03:39.063,0.608,1.0,-0.75,115
2023-01-05 12:05:54.234,0.509,1.0,-0.25,14
2023-01-05 12:06:09.007,0.508,1.0,-0.25,6
2023-01-05 12:06:17.195,0.497,1.0,-1.5,92
2023-01-05 12:20:30.080,0.41,1.0,-0.75,2
2023-01-05 12:20:58.023,0.625,-4.0,0.0,20
2023-01-05 12:22:37.014,0.42,1.0,0.0,0
2023-01-05 12:23:30.036,0.458,1.0,-0.75,13
2023-01-05 12:24:13.171,0.501,1.0,-3.25,50
2023-01-05 12:28:11.008,0.648,1.0,0.0,3
2023-01-05 12:30:04.172,0.404,1.0,-0.25,15
2023-01-05 12:33:04.002,0.478,1.0,-0.25,7
2023-01-05 12:37:09.096,0.511,1.0,-2.0,175
2023-01-05 12:40:09.029,0.595,1.0,-0.75,31
2023-01-05 12:43:40.093,0.714,1.0,-1.5,83
2023-01-05 12:45:26.041,0.411,1.0,0.0,6
2023-01-05 12:45:58.045,0.444,1.0,-2.0,118
2023-01-05 12:48:31.408,0.569,1.0,-3.25,436
2023-01-05 12:56:28.106,0.442,-4.0,0.0,115
2023-01-05 12:58:26.068,0.404,1.0,-1.25,64
2023-01-05 13:00:10.012,0.682,1.0,-1.5,10
2023-01-05 13:00:39.078,0.447,1.0,0.0,3
2023-01-05 13:02:28.110,0.507,1.0,-0.25,18
2023-01-05 13:03:19.024,0.416,-2.75,0.0,540
2023-01-05 13:14:13.026,0.744,1.0,-3.25,125
2023-01-05 13:18:29.805,0.442,1.0,-0.5,34
2023-01-05 13:19:21.399,0.494,1.0,-0.5,26
2023-01-05 13:20:01.217,0.457,-4.0,0.0,363
2023-01-05 13:27:18.099,0.45,-4.0,0.0,87
2023-01-05 13:29:01.125,0.449,1.0,-1.75,108
2023-01-05 13:34:07.231,0.411,1.0,-0.5,95
2023-01-05 13:37:50.110,0.74,-4.0,0.0,84
2023-01-05 13:46:02.521,0.529,1.0,-1.25,182
2023-01-05 14:02:21.036,0.506,-4.0,0.0,484
2023-01-05 14:10:32.338,0.505,1.0,-2.75,303
2023-01-05 14:15:36.000,0.644,-4.0,0.0,211
2023-01-05 14:31:12.002,0.64,1.0,-0.5,25
2023-01-05 14:32:17.213,0.442,1.0,-0.25,39
2023-01-05 14:32:58.298,0.4,1.0,-0.25,4
2023-01-05 14:33:53.206,0.45,1.0,0.0,13
2023-01-05 14:35:49.067,0.436,-4.0,0.0,438
2023-01-05 14:46:23.025,0.434,-4.0,0.0,66
2023-01-05 14:50:08.026,0.438,1.0,-0.5,8
2023-01-05 14:50:23.303,0.529,1.0,0.0,3
2023-01-05 14:52:32.025,0.512,1.0,-1.25,51
2023-01-05 14:54:04.000,0.479,1.0,-0.5,24
2023-01-05 14:55:44.113,0.458,1.0,0.0,0
2023-01-05 14:55:53.137,0.401,1.0,-1.0,68
2023-01-05 14:58:46.025,0.459,1.0,-1.25,37
2023-01-05 14:59:40.009,0.789,1.0,-1.5,21
2023-01-05 15:00:09.000,0.487,1.0,-1.25,36
2023-01-05 15:10:54.008,0.43,1.0,-1.0,148
2023-01-05 15:13:56.124,0.528,1.0,-1.5,355
2023-01-05 15:24:53.603,0.495,1.0,-0.5,352
2023-01-06 08:31:07.016,0.702,1.0,0.0,2
2023-01-06 08:31:16.013,0.841,1.0,0.0,2
2023-01-06 08:31:20.029,0.526,1.0,-1.25,11
2023-01-06 08:31:37.003,0.485,1.0,0.0,2
2023-01-06 08:32:14.100,0.521,1.0,-1.0,9
2023-01-06 08:33:04.190,0.413,1.0,0.0,0
2023-01-06 08:34:14.059,0.516,1.0,-0.5,6
2023-01-06 08:34:27.036,0.586,1.0,-0.5,6
2023-01-06 08:38:19.007,0.64,1.0,-0.5,1
2023-01-06 08:39:33.002,0.495,1.0,0.0,1
2023-01-06 08:45:05.010,0.511,1.0,0.0,0
2023-01-06 08:49:04.136,0.556,1.0,0.0,2
2023-01-06 08:55:34.047,0.447,1.0,-0.5,9
2023-01-06 08:57:04.047,0.426,-4.0,0.0,36
2023-01-06 08:57:48.031,0.575,1.0,-0.75,14
2023-01-06 08:59:02.404,0.458,1.0,0.0,2
2023-01-06 08:59:46.180,0.696,1.0,-0.25,14
2023-01-06 09:00:51.039,0.457,1.0,-0.5,1
2023-01-06 09:00:59.005,0.569,1.0,-1.75,4
2023-01-06 09:01:27.041,0.688,1.0,0.0,2
2023-01-06 09:01:30.018,0.512,1.0,0.0,1
2023-01-06 09:02:01.028,0.565,1.0,0.0,0
2023-01-06 09:02:42.003,0.616,1.0,0.0,0
2023-01-06 09:03:56.010,0.602,1.0,-0.75,4
2023-01-06 09:04:02.110,0.703,1.0,0.0,0
2023-01-06 09:04:41.008,0.479,1.0,-1.5,8
2023-01-06 09:05:17.097,0.464,1.0,-0.25,1
2023-01-06 09:05:37.074,0.426,1.0,-0.75,8
2023-01-06 09:06:08.021,0.441,1.0,-0.5,1
2023-01-06 09:07:25.092,0.408,1.0,0.0,2
2023-01-06 09:08:15.021,0.506,1.0,-2.0,15
